"Authors

","Size 
category
","Number
 of profiles","

Median","Slope range
(tan β)
Min","

Max",Median,"Size range
(mm)
Min",Max,"Location

","Tidal regime

","Wave source

","Section, table or figure
used to extract size 
and slope data","References

"
,,,,,,,,,,,,,
Aagaard et al. (2013),Sands,5,0.07,0.03,0.11,0.19,0.15,0.30,"Denmark,  Australia, Canada",Various,Various,Size: text. Slope: Fig 2,"Aagaard, T., Greenwood, B., and Hughes, M. (2013). Sediment transport on dissipative, intermediate and reflective beaches. Earth-Science Reviews 124, 32–50."
Aagaard et al. (2012),Sands,1,0.10,0.10,0.10,0.40,0.25,0.45,Australia,NI,South Pacific,Size: text. Slope: Fig 3,"Aagaard, T., Hughes, M., Baldock, T., Greenwood, B., Kroon, A., and Power, H. (2012). Sediment transport processes and morphodynamics on a reflective beach under storm and non-storm conditions. Marine Geology 326–328, 154–165."
Abdollahi-Nasab (2014),Pebbles,2,0.10,0.09,0.11,6.15,5.50,6.80,USA,Mesotidal,Prince William Sound,Size: Appendix B. Slope: Fig 3.3,"Abdollahi-Nasab, A. (2014). Influence of beach hydrodynamics on saltwater transport and oil persistence in beaches. Ph.D. New Jersey Institute of Technology."
Allan et al. (2005),Cobbles,22,0.18,0.12,0.44,63.60,40.20,128.00,USA,Microtidal,North Pacific,Tab 5.1,"Allan, C.J., Geitgey, R.P., and Hart, R. (2005). Dynamic revetments for coastal erosion in Oregon (Newport, OR,  United States: Oregon Department of Transportation)."
Almeida et al. (2013),Granules,1,0.09,0.09,0.09,3.00,2.00,4.00,UK,Macrotidal,English Channel,Slope: from Fig 3,"Almeida, L.P., Masselink, G., Russell, P.E., Davidson, M., Poate, T., Mccall, R., Blenkinsopp, C., Turner, I.L., and web-support@bath.ac.uk (2013). Observations of the swash zone on a gravel beach during a storm using a laser-scanner (Lidar). Journal of Coastal Research SI 65, 636–641."
Almeida et al. (2014),Pebbles,3,0.11,0.08,0.28,16.00,3.00,50.00,UK,Various,Various,Size: Tab 1. Slope: Fig 9,"Almeida, L.P., Masselink, G., Russell, P., Davidson, M., McCall, R., and Poate, T. (2014). Swash zone morphodynamics of coarse-grained beaches during energetic wave conditions. Coastal Engineering Proceedings 1, 35."
Anfuso et al. (2007),Sands,17,0.10,0.06,0.12,0.56,0.21,0.69,Morocco,Microtidal,Mediterranean Sea,Fig 5,"Anfuso, G., Pozo, J.A.M. del, Nachite, D., Benavente, J., and Macias, A. (2007). Morphological characteristics and medium-term evolution of the beaches between Ceuta and Cabo Negro (Morocco). Environ Geol 52, 933–946."
Aragonés et al. (2015),Pebbles,25,0.16,0.07,0.61,20.50,0.25,38.32,Spain,Microtidal,Mediterranean Sea,Tab 5,"Aragonés, L., López, I., Villacampa, Y., Serra, J.C., and Saval, J.M. (2015). New Methodology for the Classification of Gravel Beaches: Adjusted on Alicante (Spain). Journal of Coastal Research 31, 1023–1034."
Bascom (1951),Sands,30,0.04,0.01,0.20,0.31,0.17,0.82,USA,NI,North Pacific,Fig 2,"Bascom, W.N. (1951). The relationship between sand size and beach-face slope. Eos Trans. AGU 32, 866–874."
Bertoni et al. (2013),Pebbles,2,0.19,0.17,0.20,40.50,6.00,75.00,Italy,Microtidal,Mediterranean Sea,Size: Tab 2. Slope: Fig 9,"Bertoni, D., Grottoli, E., Ciavola, P., Sarti, G., Benelli, G., and Pozzebon, A. (2013). On the displacement of marked pebbles on two coarse-clastic beaches during short fair-weather periods (Marina di Pisa and Portonovo, Italy). Geo-Marine Letters 33, 463–476."
Boon and Green (1988),Sands,10,0.14,0.08,0.19,0.35,0.22,0.85,St. Marteen Island,Microtidal,Caribbean Sea,Tab 1,"Boon, J.D., and Green, M.O. (1988). Caribbean beach-face slopes and beach equilibrium profiles. Coastal Engineering Proceedings 1."
Borzone and Rosa (2009),Sands,12,0.05,0.04,0.11,0.21,0.15,0.49,Brazil,NI,Bay,Tab 1,"Borzone, C.A., and Rosa, L.C. (2009). Impact of oil spill and posterior clean-up activities on wrack-living talitrid amphipods on estuarine beaches. Brazilian Journal of Oceanography 57, 315–323."
Bosom and Jiménez (2011),Sands,5,0.16,0.09,0.18,0.85,0.25,1.45,Spain,Microtidal,Mediterranean Sea,Tab 1,"Bosom, E., and Jiménez, J.A. (2011). Probabilistic coastal vulnerability assessment to storms at regional scale – application to Catalan beaches (NW Mediterranean). Natural Hazards and Earth System Science 11, 475–484."
Bradbury and Powell (1992),Pebbles,1,0.10,0.08,0.12,16.00,16.00,16.00,UK,Macrotidal,English Channel,Text,"Bradbury, A.P., and Powell, K.A. (1992). THE SHORT TERM PROFILE RESPONSE OF SHINGLE SPITS TO STORM WAVE ACTION. Coastal Engineering Proceedings 1."
Brayne (2015),Cobbles,2,0.20,0.12,0.27,105.00,70.00,140.00,"UK, USA",Various,Various,"Size: Fig 2.6, 2.9. Slope: text","Brayne, R.P. (2015). The Relationship between Nearshore Wave Conditions and Coarse Clastic Beach Dynamics."
